Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R232,Toscano,Italian,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Pizza,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Pasta,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Continental,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Desserts,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Healthy Food,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R232,Toscano,Beverages,100,"UB City, Bangalore",3.9,12.971351746,77.5959198922,849.0,https://www.zomato.com/bangalore/toscano-lavelle-road/order
R233,UBQ By Barbeque Nation,North Indian,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R233,UBQ By Barbeque Nation,Chinese,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R233,UBQ By Barbeque Nation,Street Food,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R233,UBQ By Barbeque Nation,Kebab,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R233,UBQ By Barbeque Nation,Beverages,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R233,UBQ By Barbeque Nation,Desserts,100,"Ulsoor, Bangalore",3.6,12.97362,77.62117,1440.0,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
R234,Donne Biryani Palace,Biryani,100,"Jayanagar, Bangalore",4.1,12.9263883391,77.5847351423,121.0,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order
R234,Donne Biryani Palace,South Indian,100,"Jayanagar, Bangalore",4.1,12.9263883391,77.5847351423,121.0,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order
