Restaurant_Name,Latitude,Longitude,Location,Delivery_review_number
Kouzina Kafe - The Food Court,12.9922737320,77.5939662382,"Vasanth Nagar, Bangalore",30
Thela Tapri,12.9136063000,77.6040983000,"BTM, Bangalore",416
Hotel Royal Darbar,12.9508013000,77.5391770000,"Banashankari, Bangalore",43
Lassi Shop,13.0005085506,77.5995710492,"Frazer Town, Bangalore",315
Thalassery Restaurant Multi Cuisine,12.9628132091,77.6040924531,"Richmond Town, Bangalore",401
Delhi Food Point,12.9271941437,77.6377429068,"Koramangala 1st Block, Bangalore",16.5K
Kabab Magic Roll,12.9565515120,77.6196671650,"Richmond Road, Bangalore","1,327"
Lemon Leaf,12.9671700000,77.6412600000,"Indiranagar, Bangalore",27
Davanagere Benne Dose Manne,12.9578163198,77.5673070922,"Basavanagudi, Bangalore",628
Sinful Desserts,12.9599904280,77.6455303654,"Domlur, Bangalore",165
Sri Maruthi Gowda's Military Hotel,12.9771267939,77.5760993734,"Majestic, Bangalore",704
Juice Junction,12.9434126186,77.5678304583,"Basavanagudi, Bangalore","1,331"
Srinidhi Sagar Deluxe,12.9592961139,77.6383413747,"Domlur, Bangalore","2,328"
Hotel Salala,12.9589687237,77.6553573087,"Old Airport Road, Bangalore",759
Smoke House Deli,12.9717464243,77.5983583555,"Lavelle Road, Bangalore","2,154"
Kolkata Famous Kati Rolls,13.0278951067,77.6043906435,"RT Nagar, Bangalore","1,322"
Basaveshwar Khanavali,12.9328970186,77.5841708109,"Jayanagar, Bangalore",888
Taaka Chinese,12.9644230000,77.6058900000,"Richmond Town, Bangalore",21
