Name,Price_For_One,Cuisines,Rating,Urls
Kolkata Kathi Rolls,₹300 for one,"Rolls, Biryani, Chinese, North Indian, Sichuan",3.9,https://www.zomato.com/bangalore/kolkata-kathi-rolls-jp-nagar/order
Royal Restaurant,₹300 for one,"North Indian, Chinese, Sichuan",4,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order
Chinese Wok,₹300 for one,"Chinese, Momos, Sichuan",3.6,https://www.zomato.com/bangalore/chinese-wok-malleshwaram-bangalore/order
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",₹300 for one,"Beverages, Shake, Desserts, Ice Cream",4,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore/order
Glen's Bakehouse,₹300 for one,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/glens-bakehouse-lavelle-road/order
Theobroma,₹300 for one,"Bakery, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/theobroma-lavelle-road-bangalore/order
Paradise Biryani,₹300 for one,"Biryani, North Indian, Kebab",3.9,https://www.zomato.com/bangalore/paradise-biryani-rajajinagar-bangalore/order
Sri Udupi Park,₹300 for one,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake",4.2,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order
Krishna Vaibhava,₹300 for one,"South Indian, North Indian, Mithai, Chinese, Biryani",4.2,https://www.zomato.com/bangalore/krishna-vaibhava-vijay-nagar-bangalore/order
Dindigul Thalappakatti,₹300 for one,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",3.9,https://www.zomato.com/bangalore/dindigul-thalappakatti-mg-road-bangalore/order
RNR Biryani - Taste Of 1953,₹250 for one,"Biryani, South Indian, Desserts, Beverages, Andhra",4.3,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/order
Call Me Chow,₹250 for one,"Chinese, Japanese, Thai, Indonesian, Asian",4.2,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order
Krispy Kreme,₹250 for one,"Desserts, Beverages",4.5,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order
Baskin Robbins,₹250 for one,"Ice Cream, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/baskin-robbins-church-street/order
Royal Biryani Kitchen,₹250 for one,"Biryani, North Indian, Mughlai, Fast Food, Beverages, Sichuan",3.4,https://www.zomato.com/bangalore/royal-biryani-kitchen-btm-bangalore/order
Pathaan Sir,₹250 for one,Rolls,3.9,https://www.zomato.com/bangalore/pathaan-sir-wilson-garden-bangalore/order
Chaatimes,₹250 for one,"Street Food, Beverages",4.1,https://www.zomato.com/bangalore/chaatimes-frazer-town-bangalore/order
Chicpet Donne Biriyani House,₹250 for one,"Biryani, South Indian",4.1,https://www.zomato.com/bangalore/chicpet-donne-biriyani-house-koramangala-7th-block-bangalore/order
Kaati Zone Rolls and Wraps,₹250 for one,"Rolls, Wraps, Fast Food, Desserts, Shake, Beverages",3.7,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-vasanth-nagar-bangalore/order
Vijayalakshmi Veg,₹250 for one,"South Indian, Chinese, North Indian, Sichuan",4,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order
Sultan - Palace Darbar Restaurant,₹250 for one,"North Indian, Chinese, Arabian, Mughlai",3.4,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order
Cakewala,₹250 for one,"Bakery, Desserts",4.3,https://www.zomato.com/bangalore/cakewala-1-jayanagar/order
Madeena Hotel,₹150 for one,"Biryani, Kebab, North Indian",4,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order
Hari Super Sandwich,₹150 for one,"Sandwich, Pizza, Fast Food, Street Food",3.8,https://www.zomato.com/bangalore/hari-super-sandwich-seshadripuram-bangalore/order
Moriz Nano Restaurant,₹150 for one,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",3.5,https://www.zomato.com/bangalore/moriz-nano-restaurant-ulsoor/order
Smoor,₹150 for one,"Asian, Italian, Salad, Pizza, Sandwich, Burger, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order
Chaayos Chai+Snacks=Relax,₹150 for one,"Cafe, Tea, Beverages",4.1,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-cunningham-road-bangalore/order
Savi Sagar,₹150 for one,"North Indian, South Indian, Chinese, Sandwich, Street Food, Ice Cream, Juices, Beverages",3.8,https://www.zomato.com/bangalore/savi-sagar-malleshwaram-bangalore/order
Shanmukha,₹150 for one,"Biryani, Andhra, North Indian, Chinese, Seafood",4.1,https://www.zomato.com/bangalore/shanmukha-1-jp-nagar-bangalore/order
Narmada Chain of Restaurants,₹150 for one,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",4.3,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order
New Agarwal Bhavan,₹150 for one,"Mithai, Street Food",4.2,https://www.zomato.com/bangalore/new-agarwal-bhavan-sadashiv-nagar-bangalore/order
BOX8 - Desi Meals,₹150 for one,"Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/box8-desi-meals-shanti-nagar-bangalore/order
The Pizza Bakery,₹150 for one,"Pizza, Pasta, Italian, Continental, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/order
Starbucks Coffee,₹150 for one,"Cafe, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order
Karnataka Biryani Point,₹50 for one,"Biryani, South Indian",4.1,https://www.zomato.com/bangalore/karnataka-biryani-point-rajajinagar-bangalore/order
Roti Ghar,₹50 for one,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",4.1,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order
